Sample name ,Sample type,Sample group,Matrix,Location,Compound,Analyte peak area,Analyte retention time (min),Internal standard peak area,Internal standard retention time (min),Sample mass
2022_NIABiota_GroupC_Shrimp2,Sample,Homogenizer,Biota,NIA,PFOS,1.65E+03,2.75,7.79E+01,2.79,7.11E-01
2022_NIABiota_GroupD_Crayfish1,Sample,Pestle,Biota,NIA,PFOS,0.00E+00,0,4.75E+02,2.77,5.77E-01
2022_NIABiota_GroupD_Crayfish2,Sample,Pestle,Biota,NIA,PFOS,2.15E+03,2.77,1.44E+02,2.77,5.61E-01
2022_NIABiota_GroupD_MortarBlank,Blank,Pestle,Biota,NIA,PFOS,2.21E+03,2.76,2.29E+02,2.76,1.00E+00
2022_NIABiota_GroupD_MortarSpike,Spike,Pestle,Biota,NIA,PFOS,8.77E+02,2.81,5.15E+02,2.78,1.00E+00
2022_NIABiota_GroupE_BlenderBlank,Blank,Blender,Biota,NIA,PFOS,2.71E+02,2.79,1.20E+02,0,1.00E+00
2022_NIABiota_GroupE_Catfish,Sample,Blender,Biota,NIA,PFOS,8.87E+03,2.79,2.87E+02,2.77,8.01E-01
2022_NIABiota_GroupE_MortarBlank,Blank,Pestle,Biota,NIA,PFOS,8.04E+01,2.8,3.86E+02,2.79,1.00E+00
2022_NIABiota_GroupE_MortarSpike,Spike,Pestle,Biota,NIA,PFOS,3.40E+03,2.82,6.74E+01,2.84,1.00E+00
2022_NIABiota_GroupE_Snail,Sample,Pestle,Biota,NIA,PFOS,3.91E+02,2.76,1.66E+02,2.8,7.72E-01
2022_NIABiota_GroupF_BlenderBlank,Blank,Blender,Biota,NIA,PFOS,0.00E+00,0,4.69E+02,2.77,1.00E+00
2022_NIABiota_GroupF_BlenderSpike,Spike,Blender,Biota,NIA,PFOS,3.64E+03,2.77,1.81E+02,2.76,1.00E+00
2022_NIABiota_GroupF_LargeSunfish1,Sample,Blender,Biota,NIA,PFOS,1.15E+04,2.74,3.49E+02,2.75,5.50E-01
2022_NIABiota_GroupF_LargeSunfish2,Sample,Blender,Biota,NIA,PFOS,1.35E+04,2.78,5.34E+02,2.77,6.90E-01
2022_NIABiota_GroupF_LargeSunfish3,Sample,Blender,Biota,NIA,PFOS,1.29E+03,2.81,3.55E+02,2.83,7.02E-01
2022_NIABiota_GroupF_MortarBlank,Blank,Pestle,Biota,NIA,PFOS,0.00E+00,0,1.10E+02,2.82,1.00E+00
2022_NIABiota_GroupF_MortarSpike,Spike,Pestle,Biota,NIA,PFOS,5.79E+02,2.75,2.00E+02,2.79,1.00E+00
2022_NIABiota_GroupF_Snail1,Sample,Pestle,Biota,NIA,PFOS,1.44E+02,2.97,5.09E+01,2.76,6.21E-01
2022_NIABiota_GroupF_Snail2,Sample,Pestle,Biota,NIA,PFOS,5.34E+02,2.83,5.57E+01,2.76,5.42E-01
